,location,price(L),rate_persqft,area_insqft,building_status,bhk,property_type
1350,Other,65.0,5803,1120,Ready to move,2.0,Apartment
1351,Other,55.0,5203,1057,Ready to move,2.0,Apartment
1352,Nallakunta,58.0,5487,1057,Ready to move,2.0,Apartment
1353,Other,160.0,3755,4260,Ready to move,5.0,Independent House
1354,Other,90.0,8333,1080,Ready to move,2.0,Independent House
1355,Nallakunta,130.0,9629,1350,Ready to move,3.0,Independent House
1356,Nallakunta,220.00000000000003,11071,1987,Ready to move,4.0,Independent House
1357,Gachibowli,87.84,7320,1200,Under Construction,2.0,Apartment
1358,Kondapur,225.0,9221,2440,Ready to move,3.0,Apartment
1359,Kondapur,97.2,7934,1225,Under Construction,2.0,Apartment
1360,Other,1500.0,38961,3850,Ready to move,4.0,Villa
1361,Gachibowli,400.0,9638,4150,Ready to move,4.0,Apartment
1362,Patancheru,130.0,6500,2000,Ready to move,3.0,Villa
1363,Nanakramguda,200.0,10204,1960,Ready to move,3.0,Apartment
1364,Other,118.0,10000,1180,Ready to move,2.0,Apartment
1365,Kondapur,170.0,10041,1693,Ready to move,3.0,Apartment
1366,Other,312.0,13000,2400,Ready to move,3.0,Apartment
1367,Other,738.0,15000,4920,Ready to move,4.0,Apartment
1368,Other,325.0,13000,2500,Ready to move,3.0,Apartment
1369,Rudraram,39.99,2222,1800,New,0.0,Residential Plot
1370,Rudraram,39.99,2222,1800,New,0.0,Residential Plot
1371,Rudraram,39.99,2222,1800,New,0.0,Residential Plot
1372,Other,138.0,63000,220,Resale,0.0,Residential Plot
1373,Kapra,90.0,45000,200,Resale,0.0,Residential Plot
1374,Rudraram,39.99,2222,1800,New,0.0,Residential Plot
1375,Rudraram,39.99,2222,1800,New,0.0,Residential Plot
1376,Rudraram,39.99,2222,1800,New,0.0,Residential Plot
1377,Rudraram,39.99,2222,1800,New,0.0,Residential Plot
1378,Rudraram,39.99,2222,1800,New,0.0,Residential Plot
1379,Tellapur,641.0,19888,3223,Ready to move,4.0,Villa
1380,Tukkuguda,85.0,5312,1600,Ready to move,3.0,Apartment
1381,Kokapet,126.0,7495,1686,Under Construction,3.0,Apartment
1382,Manikonda,160.0,8495,1891,Under Construction,3.0,Apartment
1383,Kokapet,98.25,7500,1310,Under Construction,2.0,Apartment
1384,Tellapur,113.0,6699,1695,Under Construction,3.0,Apartment
1385,Tellapur,90.77,6699,1355,Under Construction,2.0,Apartment
1386,Kollur,111.0,5999,1855,Under Construction,3.0,Apartment
1387,Kollur,99.28,5999,1655,Under Construction,3.0,Apartment
1388,Kokapet,81.37,7500,1085,Under Construction,2.0,Apartment
1389,Narsingi,95.4,7950,1200,Under Construction,2.0,Apartment
1390,Kollur,131.0,5999,2195,Under Construction,3.0,Apartment
1391,Kollur,77.68,5999,1295,Under Construction,2.0,Apartment
1392,Kollur,145.0,5999,2425,Under Construction,3.0,Apartment
1393,Kollur,113.0,5999,1900,Under Construction,3.0,Apartment
1394,Kollur,112.0,5999,1875,Under Construction,3.0,Apartment
1395,Kollur,83.98,5999,1400,Under Construction,3.0,Apartment
1396,Kollur,103.0,5499,1880,Under Construction,3.0,Apartment
1397,Kollur,76.16,5499,1385,Under Construction,2.0,Apartment
